"ID","NAME","PREFIXES AS URL","INDEGREE","TOTAL KNOWN PAGES","CRAWLED PAGES","STATUS","LAST MODIFICATION DATE"
"3","commission.Europa.eu /research-and-innovation_fr","http://commission.europa.eu/research-and-innovation_fr http://www.commission.europa.eu/research-and-innovation_fr https://commission.europa.eu/research-and-innovation_fr https://www.commission.europa.eu/research-and-innovation_fr","0","2","1","IN","2023-01-25T10:55:50.771Z"
"2","hal-cyu.Archives-Ouvertes.fr /.../author","http://hal-cyu.archives-ouvertes.fr/LP/browse/author http://www.hal-cyu.archives-ouvertes.fr/LP/browse/author https://hal-cyu.archives-ouvertes.fr/LP/browse/author https://www.hal-cyu.archives-ouvertes.fr/LP/browse/author","0","86","29","IN","2023-01-25T10:55:24.884Z"
"1","Anr.fr","http://anr.fr http://www.anr.fr https://anr.fr https://www.anr.fr","4","13782","3154","IN","2023-01-25T10:55:24.885Z"
"4","european-union.Europa.eu /.../funding-grants-subsidies_fr","http://european-union.europa.eu/live-work-study/funding-grants-subsidies_fr http://www.european-union.europa.eu/live-work-study/funding-grants-subsidies_fr https://european-union.europa.eu/live-work-study/funding-grants-subsidies_fr https://www.european-union.europa.eu/live-work-study/funding-grants-subsidies_fr","0","2","1","IN","2023-01-25T10:55:24.946Z"
"5","laboratoire-paragraphe.Univ-Paris8.fr","http://laboratoire-paragraphe.univ-paris8.fr http://www.laboratoire-paragraphe.univ-paris8.fr https://laboratoire-paragraphe.univ-paris8.fr https://www.laboratoire-paragraphe.univ-paris8.fr","1","1","0","IN","2023-01-25T12:39:01.156Z"
"6","Univ-Paris8.fr /UR-Laboratoire-Paragraphe","http://univ-paris8.fr/UR-Laboratoire-Paragraphe http://www.univ-paris8.fr/UR-Laboratoire-Paragraphe https://univ-paris8.fr/UR-Laboratoire-Paragraphe https://www.univ-paris8.fr/UR-Laboratoire-Paragraphe","1","5","1","IN","2023-01-25T10:55:32.640Z"
"314","Ircam.fr","http://ircam.fr http://www.ircam.fr https://ircam.fr https://www.ircam.fr","4","25402","2834","IN","2023-01-25T14:01:53.957Z"
"390","laboratoire-paragraphe.Univ-Paris8.fr /.../Apprentissage-developpement-cognition","http://laboratoire-paragraphe.univ-paris8.fr/bienvenue/axes-de-recherche-2020-2025/Apprentissage-developpement-cognition http://www.laboratoire-paragraphe.univ-paris8.fr/bienvenue/axes-de-recherche-2020-2025/Apprentissage-developpement-cognition https://laboratoire-paragraphe.univ-paris8.fr/bienvenue/axes-de-recherche-2020-2025/Apprentissage-developpement-cognition https://www.laboratoire-paragraphe.univ-paris8.fr/bienvenue/axes-de-recherche-2020-2025/Apprentissage-developpement-cognition","0","0","0","IN","2023-01-25T13:30:04.874Z"
"391","laboratoire-paragraphe.Univ-Paris8.fr ?page=actualites","http://laboratoire-paragraphe.univ-paris8.fr/?page=actualites http://www.laboratoire-paragraphe.univ-paris8.fr/?page=actualites https://laboratoire-paragraphe.univ-paris8.fr/?page=actualites https://www.laboratoire-paragraphe.univ-paris8.fr/?page=actualites","0","0","0","IN","2023-01-25T13:30:04.881Z"
"392","Chaire.fr","http://chaire.fr http://www.chaire.fr https://chaire.fr https://www.chaire.fr","1","261","156","IN","2023-01-25T13:30:04.885Z"
